communication_type,communication_month,instance_count
external,1998-01,86
external,1998-10,3
external,1998-11,3
external,1998-12,10
external,1999-01,13
external,1999-02,92
external,1999-03,77
external,1999-04,43
external,1999-05,70
external,1999-06,147
external,1999-07,239
external,1999-08,441
external,1999-09,2274
external,1999-10,1864
external,1999-11,1236
external,1999-12,1364
external,2000-01,2027
external,2000-02,2835
external,2000-03,3371
external,2000-04,5333
external,2000-05,10965
external,2000-06,8865
external,2000-07,8399
external,2000-08,9353
external,2000-09,13963
external,2000-10,13317
external,2000-11,23329
external,2000-12,21387
external,2001-01,12963
external,2001-02,12896
external,2001-03,24663
external,2001-04,27707
external,2001-05,26932
external,2001-06,18303
external,2001-07,12654
external,2001-08,8136
external,2001-09,12607
external,2001-10,31973
external,2001-11,24911
external,2001-12,12650
external,2002-01,18558
external,2002-02,7383
external,2002-03,3681
external,2002-04,715
external,2002-05,792
external,2002-06,453
external,2002-07,48
external,2002-10,1
external,2002-12,1
internal,1998-05,3
internal,1998-09,5
internal,1998-10,1
internal,1998-11,122
internal,1998-12,121
internal,1999-01,176
internal,1999-02,144
internal,1999-03,53
internal,1999-04,159
internal,1999-05,679
internal,1999-06,1039
internal,1999-07,1708
internal,1999-08,1464
internal,1999-09,1161
internal,1999-10,1926
internal,1999-11,1721
internal,1999-12,6323
internal,2000-01,9071
internal,2000-02,11902
internal,2000-03,13904
internal,2000-04,14123
internal,2000-05,13926
internal,2000-06,26296
internal,2000-07,21225
internal,2000-08,32257
internal,2000-09,29730
internal,2000-10,40102
internal,2000-11,55264
internal,2000-12,50744
internal,2001-01,43236
internal,2001-02,47121
internal,2001-03,59964
internal,2001-04,82821
internal,2001-05,98535
internal,2001-06,59188
internal,2001-07,40719
internal,2001-08,38661
internal,2001-09,49682
internal,2001-10,125312
internal,2001-11,87869
internal,2001-12,34985
internal,2002-01,74385
internal,2002-02,34681
internal,2002-03,10584
internal,2002-04,3102
internal,2002-05,3386
internal,2002-06,2354
internal,2002-07,420
